"School","Date Reported","Student Cases","Staff Cases","Student Quarantines","Staff Quarantines","SchoolType"
"Arlington","8/16/2021","2","0","2","0","Elementary"
"Arlington","8/2/2021","1","0","0","0","Elementary"
"Arlington","7/29/2021","0","0","1","0","Elementary"
"Arlington","8/18/2021","2","0","4","0","Elementary"
"Arlington","8/21/2021","1","0","44","0","Elementary"
"Arlington","8/19/2021","0","0","2","0","Elementary"
"Arlington","8/23/2021","0","0","6","0","Elementary"
"Arlington","8/15/2021","0","1","0","0","Elementary"
"Arlington","8/24/2021","3","0","0","0","Elementary"
"Arlington","8/22/2021","0","0","9","0","Elementary"
"Arlington","8/12/2021","0","0","1","0","Elementary"
"Arlington","8/17/2021","3","1","3","0","Elementary"
"Ashland","8/8/2021","0","0","2","0","Elementary"
"Ashland","8/24/2021","0","0","2","0","Elementary"
"Ashland","8/5/2021","0","1","0","0","Elementary"
"Ashland","8/2/2021","0","1","0","0","Elementary"
"Ashland","8/11/2021","0","0","1","0","Elementary"
"Ashland","8/9/2021","1","0","0","0","Elementary"
"Ashland","8/10/2021","0","0","3","0","Elementary"
"Athens-Chilesburg","8/1/2021","3","0","0","0","Elementary"
"Athens-Chilesburg","8/2/2021","4","0","0","0","Elementary"
"Athens-Chilesburg","8/15/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/10/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/3/2021","0","0","1","0","Elementary"
"Athens-Chilesburg","7/28/2021","0","0","1","0","Elementary"
"Athens-Chilesburg","8/24/2021","1","0","10","0","Elementary"
"Athens-Chilesburg","8/16/2021","0","0","1","0","Elementary"
"Athens-Chilesburg","8/5/2021","0","0","1","0","Elementary"
"Athens-Chilesburg","8/25/2021","1","1","0","0","Elementary"
"Athens-Chilesburg","8/20/2021","0","0","19","0","Elementary"
"Athens-Chilesburg","8/17/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/21/2021","2","0","13","0","Elementary"
"Athens-Chilesburg","8/7/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/12/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/11/2021","1","1","1","0","Elementary"
"Athens-Chilesburg","8/23/2021","1","0","6","0","Elementary"
"Athens-Chilesburg","7/29/2021","1","0","0","0","Elementary"
"Athens-Chilesburg","8/22/2021","1","0","5","0","Elementary"
"Athens-Chilesburg","8/9/2021","2","0","4","0","Elementary"
"Athens-Chilesburg","8/8/2021","0","0","1","0","Elementary"
"Athens-Chilesburg","8/19/2021","0","0","2","0","Elementary"
"Beaumont","7/29/2021","1","0","0","0","Middle"
"Beaumont","8/6/2021","0","1","0","0","Middle"
"Beaumont","8/16/2021","0","0","2","0","Middle"
"Beaumont","8/1/2021","1","0","1","0","Middle"
"Beaumont","8/5/2021","0","0","1","0","Middle"
"Beaumont","8/10/2021","0","0","3","0","Middle"
"Beaumont","8/2/2021","0","0","1","0","Middle"
"Beaumont","8/23/2021","3","0","20","0","Middle"
"Beaumont","8/24/2021","2","0","20","0","Middle"
"Beaumont","8/20/2021","2","0","0","0","Middle"
"Beaumont","8/25/2021","0","0","10","0","Middle"
"Beaumont","8/18/2021","0","1","0","0","Middle"
"Beaumont","8/3/2021","1","0","1","0","Middle"
"Beaumont","8/13/2021","0","0","1","0","Middle"
"Booker T Washington","7/28/2021","0","0","1","0",NA
"Booker T Washington","8/11/2021","0","0","1","0",NA
"Booker T Washington","8/12/2021","0","0","1","0",NA
"Booker T Washington","8/14/2021","1","0","0","0",NA
"Breckinridge","8/17/2021","0","0","1","0","Elementary"
"Breckinridge","8/19/2021","2","0","1","0","Elementary"
"Breckinridge","8/21/2021","1","0","2","0","Elementary"
"Breckinridge","8/2/2021","0","0","1","1","Elementary"
"Breckinridge","8/16/2021","0","0","1","0","Elementary"
"Breckinridge","8/3/2021","0","0","1","0","Elementary"
"Breckinridge","8/20/2021","0","0","2","0","Elementary"
"Breckinridge","8/18/2021","2","0","11","0","Elementary"
"Breckinridge","8/10/2021","1","0","0","0","Elementary"
"Breckinridge","8/23/2021","0","0","10","0","Elementary"
"Brenda Cowan","8/6/2021","2","0","0","0","Elementary"
"Brenda Cowan","8/21/2021","0","0","1","0","Elementary"
"Brenda Cowan","8/24/2021","2","0","3","0","Elementary"
"Brenda Cowan","8/3/2021","0","0","2","0","Elementary"
"Brenda Cowan","8/12/2021","0","0","2","0","Elementary"
"Brenda Cowan","8/25/2021","1","0","1","0","Elementary"
"Brenda Cowan","8/18/2021","1","0","0","0","Elementary"
"Brenda Cowan","8/4/2021","1","0","1","0","Elementary"
"Brenda Cowan","8/13/2021","0","0","3","0","Elementary"
"Brenda Cowan","8/9/2021","0","0","3","0","Elementary"
"Brenda Cowan","8/16/2021","0","1","0","0","Elementary"
"Brenda Cowan","8/10/2021","0","0","2","0","Elementary"
"Brenda Cowan","8/15/2021","0","0","2","0","Elementary"
"Bryan Station High","7/31/2021","0","0","1","0","High School"
"Bryan Station High","7/29/2021","1","0","1","0","High School"
"Bryan Station High","8/2/2021","1","0","0","0","High School"
"Bryan Station High","8/24/2021","3","1","6","0","High School"
"Bryan Station High","8/21/2021","2","0","3","0","High School"
"Bryan Station High","8/20/2021","0","0","1","0","High School"
"Bryan Station High","8/19/2021","2","0","67","0","High School"
"Bryan Station High","8/18/2021","3","0","3","0","High School"
"Bryan Station High","8/6/2021","0","1","0","0","High School"
"Bryan Station High","8/13/2021","0","0","2","0","High School"
"Bryan Station High","8/11/2021","1","0","0","0","High School"
"Bryan Station High","8/1/2021","0","0","2","0","High School"
"Bryan Station High","8/5/2021","2","0","0","0","High School"
"Bryan Station High","8/3/2021","1","0","1","0","High School"
"Bryan Station High","8/23/2021","3","0","11","0","High School"
"Bryan Station High","8/25/2021","2","0","49","0","High School"
"Bryan Station High","8/16/2021","2","0","2","0","High School"
"Bryan Station High","8/14/2021","2","0","14","0","High School"
"Bryan Station High","8/10/2021","3","0","0","0","High School"
"Bryan Station High","7/28/2021","1","0","6","0","High School"
"Bryan Station High","8/9/2021","1","0","2","0","High School"
"Bryan Station High","8/12/2021","2","0","8","0","High School"
"Bryan Station High","8/17/2021","0","0","5","0","High School"
"Bryan Station High","8/22/2021","0","0","18","0","High School"
"Bryan Station High","8/4/2021","1","0","1","0","High School"
"Bryan Station Middle","8/21/2021","0","0","25","0","Middle"
"Bryan Station Middle","8/20/2021","1","0","1","0","Middle"
"Bryan Station Middle","8/24/2021","5","0","8","0","Middle"
"Bryan Station Middle","8/14/2021","1","0","3","0","Middle"
"Bryan Station Middle","8/1/2021","0","0","2","0","Middle"
"Bryan Station Middle","8/15/2021","1","0","0","0","Middle"
"Bryan Station Middle","8/23/2021","3","0","2","0","Middle"
"Bryan Station Middle","8/19/2021","2","0","28","0","Middle"
"Bryan Station Middle","8/2/2021","0","0","1","0","Middle"
"Bryan Station Middle","8/25/2021","2","1","89","0","Middle"
"Bryan Station Middle","8/9/2021","0","0","2","0","Middle"
"Bryan Station Middle","8/12/2021","2","0","5","0","Middle"
"Bryan Station Middle","8/5/2021","0","0","1","0","Middle"
"Bryan Station Middle","8/10/2021","0","0","3","0","Middle"
"Bryan Station Middle","8/22/2021","0","0","18","0","Middle"
"Bryan Station Middle","8/18/2021","1","0","13","0","Middle"
"Bryan Station Middle","8/13/2021","1","0","2","0","Middle"
"Bryan Station Middle","8/17/2021","1","0","1","0","Middle"
"Bryan Station Middle","8/16/2021","3","0","4","0","Middle"
"Cardinal Valley","8/24/2021","0","2","16","0","Other"
"Cardinal Valley","7/28/2021","0","0","3","0","Other"
"Cardinal Valley","8/25/2021","1","0","0","0","Other"
"Cardinal Valley","8/21/2021","0","0","3","0","Other"
"Cardinal Valley","7/31/2021","0","0","1","0","Other"
"Cardinal Valley","8/19/2021","0","1","0","0","Other"
"Cardinal Valley","8/17/2021","1","0","0","0","Other"
"Cardinal Valley","8/20/2021","0","1","14","0","Other"
"Cardinal Valley","8/18/2021","0","0","0","1","Other"
"Cardinal Valley","8/16/2021","0","0","0","1","Other"
"Cassidy","8/23/2021","0","0","2","0","Elementary"
"Cassidy","8/17/2021","0","0","1","0","Elementary"
"Cassidy","8/1/2021","0","0","1","0","Elementary"
"Cassidy","8/8/2021","0","0","2","0","Elementary"
"Cassidy","8/2/2021","0","0","1","0","Elementary"
"Cassidy","8/24/2021","1","1","2","0","Elementary"
"Cassidy","8/7/2021","1","0","0","0","Elementary"
"Cassidy","8/10/2021","1","0","3","0","Elementary"
"Cassidy","7/31/2021","0","0","2","0","Elementary"
"Cassidy","8/11/2021","0","0","1","0","Elementary"
