School,SchoolType
Arlington,Elementary
Athens-Chilesburg,Elementary
Beaumont,Middle
Breckinridge,Elementary
Bryan Station High,High School
Bryan Station Middle,Middle
Cassidy,Elementary
CG Woodson,Other
CGW Prep,Other
Clays Mill,Elementary
Coventry Oak,Elementary
Crawford,Middle
Deep Springs,Elementary
District Departments,Other
Dixie,Elementary
Edythe J. Hayes,Middle
Fayette Preschool,Other
Frederick Douglass,High School
Garden Springs,Elementary
Garrett Morgan,Elementary
Glendover,Elementary
Harrison,Elementary
Henry Clay,High School
Lafayette,High School
Lansdowne,Elementary
Leestown,Middle
Liberty,Elementary
LTMS,Middle
Mary Todd,Elementary
Maxwell,Elementary
Morton,Middle
Northern,Elementary
Picadome,Elementary
PL Dunbar,High School
Rise STEM Academy,Other
Rosa Parks,Elementary
Sandersville,Elementary
Southern Elem,Elementary
Southern Middle,Middle
Squires,Elementary
STEAM Academy,Other
Tates Creek Elem,Elementary
Tates Creek High,High School
Veterans Park,Elementary
W.W. Brown,Elementary
Wellington,Elementary
Winburn,Middle
Yates,Elementary
